iter	Passed	Remaining
644	59596	125198
645	59693	125116
646	59779	125009
647	59876	124926
648	59955	124807
649	60046	124711
650	60141	124624
651	60234	124533
652	60329	124447
653	60414	124339
654	60508	124249
655	60605	124168
656	60698	124076
657	60794	123990
658	60892	123910
659	60989	123827
660	61087	123745
661	61185	123665
662	61279	123576
663	61369	123477
664	61464	123391
665	61560	123305
666	61658	123224
667	61753	123136
668	61844	123042
669	61934	122944
670	62030	122858
671	62123	122768
672	62215	122674
673	62304	122574
674	62395	122480
675	62491	122394
676	62582	122299
677	62672	122201
678	62766	122113
679	62860	122023
680	62960	121945
681	63057	121862
682	63153	121775
683	63251	121694
684	63343	121601
685	63439	121514
686	63536	121430
687	63618	121318
688	63712	121229
689	63802	121131
690	63889	121028
691	63979	120932
692	64068	120832
693	64161	120742
694	64259	120660
695	64357	120577
696	64457	120498
697	64546	120400
698	64639	120308
699	64738	120228
700	64835	120144
701	64933	120061
702	65031	119979
703	65128	119896
704	65222	119806
705	65313	119710
706	65406	119618
707	65482	119496
708	65572	119399
709	65662	119302
710	65752	119204
711	65844	119111
712	65939	119023
713	66034	118935
714	66129	118847
715	66228	118766
716	66324	118681
717	66419	118593
718	66509	118496
719	66599	118398
720	66680	118285
721	66771	118190
722	66869	118107
723	66959	118010
724	67057	117929
725	67148	117834
726	67239	117739
727	67331	117645
728	67423	117551
729	67519	117466
730	67618	117385
731	67715	117299
732	67804	117201
733	67897	117108
734	67989	117016
735	68087	116932
736	68182	116843
737	68277	116756
738	68374	116672
739	68468	116580
740	68556	116480
741	68643	116378
742	68738	116291
743	68830	116196
744	68922	116104
745	69021	116023
746	69121	115943
747	69217	115855
748	69307	115758
749	69388	115647
750	69470	115538
751	69561	115442
752	69653	115349
753	69744	115254
754	69829	115149
755	69922	115058
756	70014	114964
757	70108	114874
758	70205	114788
759	70290	114684
760	70384	114594
761	70478	114504
762	70569	114409
763	70665	114322
764	70760	114234
765	70857	114148
766	70954	114063
767	71047	113971
768	71138	113876
769	71231	113785
770	71318	113683
771	71417	113601
772	71508	113506
773	71603	113417
774	71694	113323
775	71783	113226
776	71871	113125
777	71969	113042
778	72060	112947
779	72158	112862
780	72251	112771
781	72347	112685
782	72437	112587
783	72517	112476
784	72611	112386
785	72708	112300
786	72799	112205
787	72894	112116
788	72992	112032
789	73078	111930
790	73177	111848
791	73271	111757
792	73360	111659
793	73446	111557
794	73538	111464
795	73624	111362
796	73719	111272
797	73809	111176
798	73903	111086
799	73996	110994
800	74084	110895
801	74180	110808
802	74276	110720
803	74372	110633
804	74466	110544
805	74555	110446
806	74651	110358
807	74729	110243
808	74821	110151
809	74899	110037
810	74994	109948
811	75092	109864
812	75187	109775
813	75286	109692
814	75385	109609
815	75475	109514
816	75566	109418
817	75659	109327
818	75758	109243
819	75856	109158
820	75953	109073
821	76042	108975
822	76134	108882
823	76230	108795
824	76326	108706
825	76422	108620
826	76506	108515
827	76601	108426
828	76692	108331
829	76781	108234
830	76879	108148
831	76969	108053
832	77067	107967
833	77161	107878
834	77252	107783
835	77343	107688
836	77441	107603
837	77528	107503
838	77610	107396
839	77701	107302
840	77797	107214
841	77886	107116
842	77983	107030
843	78083	106948
844	78181	106864
845	78268	106763
846	78367	106679
847	78461	106589
848	78547	106488
849	78634	106388
850	78730	106299
851	78824	106209
852	78916	106116
853	78991	106000
854	79076	105897
855	79161	105795
856	79257	105707
857	79359	105627
858	79456	105540
859	79547	105446
860	79637	105350
861	79732	105262
862	79824	105169
863	79919	105079
864	80012	104987
865	80108	104899
866	80190	104792
867	80274	104689
868	80358	104586
869	80453	104496
870	80542	104399
871	80632	104303
872	80720	104206
873	80818	104120
874	80913	104032
875	81007	103941
876	81103	103853
877	81198	103763
878	81295	103677
879	81393	103591
880	81476	103486
881	81562	103387
882	81656	103296
883	81746	103200
884	81833	103101
885	81922	103003
886	82010	102905
887	82099	102809
888	82195	102721
889	82283	102623
890	82359	102510
891	82455	102422
892	82545	102327
893	82648	102247
894	82729	102140
895	82823	102050
896	82918	101960
897	83015	101874
898	83105	101779
899	83198	101687
900	83295	101600
901	83394	101515
902	83491	101428
903	83585	101337
904	83671	101237
905	83760	101140
906	83849	101045
907	83945	100956
908	84026	100849
909	84119	100758
910	84214	100668
911	84307	100577
912	84404	100490
913	84496	100397
914	84589	100305
915	84672	100202
916	84758	100101
917	84851	100010
918	84943	99917
919	85038	99827
920	85128	99732
921	85218	99636
922	85301	99533
923	85390	99437
924	85482	99344
925	85579	99257
926	85671	99163
927	85766	99074
928	85862	98986
929	85951	98890
930	86041	98795
931	86137	98706
932	86228	98612
933	86318	98517
934	86407	98421
935	86504	98334
936	86599	98244
937	86695	98156
938	86792	98068
939	86884	97976
940	86975	97881
941	87075	97798
942	87171	97710
943	87254	97606
944	87342	97508
945	87437	97420
946	87535	97333
947	87633	97247
948	87724	97152
949	87814	97058
950	87904	96962
951	87998	96872
952	88097	96786
953	88194	96699
954	88280	96599
955	88370	96505
956	88454	96402
957	88548	96312
958	88643	96223
959	88735	96130
960	88818	96027
961	88906	95930
962	88996	95835
963	89084	95738
964	89180	95649
965	89275	95559
966	89368	95468
967	89462	95377
968	89553	95283
969	89645	95190
970	89737	95098
971	89836	95011
972	89930	94920
973	90028	94834
974	90111	94732
975	90210	94647
976	90309	94561
977	90397	94464
978	90495	94377
979	90595	94293
980	90690	94203
981	90788	94116
982	90880	94023
983	90968	93926
984	91067	93840
985	91157	93746
986	91246	93650
987	91336	93555
988	91431	93465
989	91529	93378
990	91615	93279
991	91699	93178
992	91791	93085
993	91881	92990
994	91968	92893
995	92056	92796
996	92155	92710
997	92251	92621
998	92347	92531
999	92439	92439
1000	92534	92349
1001	92612	92243
1002	92705	92150
1003	92788	92048
1004	92872	91947
1005	92967	91858
1006	93055	91761
1007	93150	91671
1008	93242	91578
1009	93325	91477
1010	93420	91387
1011	93511	91293
1012	93602	91200
1013	93695	91108
1014	93792	91020
1015	93877	90920
1016	93963	90822
1017	94055	90729
1018	94147	90636
1019	94246	90550
1020	94344	90463
1021	94433	90368
1022	94518	90267
1023	94605	90170
1024	94706	90086
1025	94794	89990
1026	94884	89895
1027	94983	89808
1028	95073	89714
1029	95169	89625
1030	95263	89534
1031	95362	89448
1032	95460	89361
1033	95555	89271
1034	95637	89169
1035	95733	89080
1036	95821	88983
1037	95917	88894
1038	95996	88789
1039	96095	88703
1040	96188	88611
1041	96286	88524
1042	96385	88438
1043	96480	88348
1044	96571	88254
1045	96668	88165
1046	96761	88074
1047	96852	87980
1048	96946	87889
1049	97045	87802
1050	97141	87714
1051	97238	87625
1052	97338	87540
1053	97436	87452
1054	97535	87365
1055	97636	87280
1056	97731	87190
1057	97828	87102
1058	97909	86999
1059	98003	86908
1060	98096	86816
1061	98183	86719
1062	98262	86615
1063	98353	86521
1064	98451	86434
1065	98530	86330
1066	98621	86235
